Name,Country,Email
Africa Democracy Forum (ADF),Kenya,  
"Africa Foundation, Inc.",South Africa,  
Africa Freedom of Information Centre (AFIC),Uganda,  
Africa Leadership Forum,Nigeria,  
Africa Youth Growth Foundation (AYGF),Nigeria,  
African Action on AIDS (AAA),United States of America,  
African Agency for Integrated Development (AAID),Uganda,  
African American Islamic Institute (AAII),Senegal,  
African Association of Education for Development (ASAFED),Togo,  
African Centre for Advocacy and Human Development (ACAHD),Nigeria,  
African Children's Association (ACA),Uganda,  
African Citizens Development Foundation (ACDF),Nigeria,  
African Council on Narcotics (ACON),Nigeria,  
African Development Association (ADA),Cameroon,  
African Ethics and Theatre Reformation Initiative (AETRI),Niger,  
African Foundation For Human Advancement (AFFAH),Nigeria,  
African Network for Environment and Economic Justice (ANEEJ),Nigeria,  
African Network for Information and Action Against Drug (RAID),Angola,  
African Network for the Prevention and Protection Against Child Abuse and Neglect (ANPPCAN - Liberia),Liberia,regional@anppcan.org
African Network of Religious Leaders living with or personally affected by HIV/AIDS (ANERELA +),South Africa,  
African Parliamentarians Network Against Corruption - Zambia Chapter (APNAC),Zambia,  
African Prisons Project (APP),United Kingdom,info@africanprisons.org
African Services Committee,United States of America,  
African Tourism and Development Organization (ATO),Gambia,  
African Women Empowerment Guild (AWEG),Nigeria,  
African Women Jurists Federation,Gabon,  
African Women's Development & Communication Network (FEMNET),Kenya,  
African Women's Organization (AWO),Austria,  
African Youth Empowerment Nigeria (AYEN),Nigeria,  
African Youth Movement on the Environment (AYM),Nigeria,  
African Youth Peace and Development (AYPD),Sierra Leone,  
African Youths Initiatives on Crime Prevention (AYICRIP),Nigeria,ayicripe@yahoo.com
Afro-Asian People's Solidarity Organisation (AAPSO),Egypt,  
Afro-Egyptian Human Rights Organisation (AEHRO),Egypt,  
Aftab Society,Iran (Islamic Republic of),  
Aga Khan Development Network (AKDN),Switzerland,  
Against AIDS and Addiction Hedayat-e-Sabz,Irian Jaya,  
Aghaz-E-Nau/ Therapeutic Community,Pakistan,  
Agrani Seba Songstha (ASES),Bangladesh,  
Ahang Rahaie DIC,Iran (Islamic Republic of),  
Ahmed Ali Foundation (CAAF),Pakistan,  
Aid for AIDS Foundation – Lima,Peru,  
AIDS Action Foundation (AAF),United States of America,  
AIDS Awareness Group (AAG),India,  
Aids Foundation East-West (AFEW),Netherlands,ikrasheninnikova@ru.afew.org
AIDS Infoshare,Russian Federation,  
"AIDS Prevention, Education and Care",Armenia,  
AIDS-HELP-Kazylorda (AIDS-HELP),Kazakhstan,  
Aina Media and Culture Centre,Afghanistan,  
Ainaworld,France,  
Aisling Group,Ireland,  
Ak Niet Medico Prophylactic Centre (Ak Niet),Kazakhstan,  
Aksion Plus,Albania,  
Al Nahrain Foundation for Supporting Transparency & Integrity (NFTI),Iraq,  
Al-Badar Welfare Society - Chishtian,Pakistan,  
Al-Fatah Development Organization,Pakistan,  
Al-Noor Universal Foundation,Iraq,  
Al-Sadiq Al-Taieb Association (ASTA),Palestine,  
Alabaster Jar. e.V.,Germany,  
ALAFIA,Togo,  
Alamal Charitable Association for Orphans care,Libyan Arab Jamahiriya,  
Albanian Civil Society Foundation,Albania,  
Albanian Youth Network for European Integration (AYNEI),Albania,  
Alcohol & Drug Information Centre of IOGT Polish Foundation,Poland,  
Alcohol and Drug Foundation (ADF),Australia,  
Alcohol and Drug Information Centre (ADIC),Sri Lanka,adicindia@gmail.com
Alcohol and Drug Rehabilitation Centre,Papua New Guinea,  
Alcohol and other Drugs Council of Australia (ADCA),Australia,  
Alcohol Drug Education Service (ADES),Canada,  
Alcoholics Anonymous (AA),United States of America,Gsoj-int@ric.hi-ho.ne.jp
Alhidn,Morocco,alhidn_agadir@hotmail.fr
ALIAT,Romania,  
Alive and Kicking,United Kingdom,  
All China Women's Federation,China,  
All India Women's Conference (AIWC),India,  
All Pakistan Women's Association (APWA),Pakistan,  
All-Nepal Drug Abuse Control Committee (ANDAC),Nepal,  
All-Ukrainian Charity Fund to Assist in Combating Drug Abuse,Ukraine,  
Alleviate Addiction Suffering (AAS),Pakistan,  
Alliance Against Trafficking in Women and Children in Nepal (AATWIN),Nepal,  
Alliance des Missions et Eglises Evangeliques du Nigeria (AMEEN),Niger,  
Alliance des Volontaires contre les Abus de Drogues (ANVAD),Togo,resave_togo@yahoo.fr
Alliance for African Women Initiative (AFAWI),Ghana,  
Alliance for Arab Women,Egypt,  
Alliance For Bright Citizens,Pakistan,  
Alliance for Rights-Oriented Drug Policies (AROD),Norway,  
Alliance Nationale contre le SIDA (ANCS),Senegal,  
Alliance on the Reproductive Health,Kyrgyzstan,  
Almanar Voluntary Organization,Sudan,  
Alpha Care Senegal,Senegal,  
Alpha International,United Kingdom,  
Alternative Step Association,Romania,  
Amanecer,Bolivia,  
Amazing Grace Children Centre,South Africa,  
American Association of Jurists,United States of America,szmukler@ciudad.com.ar
American Association for Retired People (AAPR),United States of America,  
American Bar Association (ABA),United States of America,  
American Bar Association Rule of Law (ABA ROLI),United States of America,  
American Board of Medical Psychotherapists,Syrian Arab Republic,  
American Civil Liberties Union (ACLU),United States of America,  
American Correctional Association,United States of America,  
American Council for Drug Education,,  
American Society of Criminology,United States of America,  
American Society of International Law,United States of America,  
Amigos do Protocolo de Kyoto,Brazil,  
Amnesty International (AI),United Kingdom,valvarez@es.amnesty.org
Amoc DHV,Netherlands,  
Amsterdams Okumenisch Centrum (AMOC),Netherlands,  
An Association for Scientific Research on the Addictions (AASRA),India,  
Ana Liffey Drug Project,Ireland,  
Ana Maria Maranon,Bolivia,  
ANACD,Cameroon,  
Andean Commissions of Jurists,Peru,  
Andreas G. Papandreou Foundation,Greece,  
Andrey Rylkov Foundation for Health and Social Justice,Russian Federation,  
Anex,Australia,  
Angaza Trust,Kenya,  
Anglican Young People's Association,Myanmar,  
Animus Association Foundation,Bulgaria,  
Anjaman-e-Fallah-o-Bahbood (Rgd) Jaranwala,Pakistan,  
ANKURAM,India,  
Anti Corruption Solidarity Group/ Gabungan Solidaritas Anti Korupsi (GaSAK),Indonesia,  
Anti Drug Abuse Association of Lesotho (ADAAL),Lesotho,  
Anti Drug Abuse Association of Zimbabwe (ADAAZ),Zimbabwe,  
Anti Narcotics Coordinating Center (ANCC),Thailand,  
Anti Narcotics Welfare Organization,Pakistan,  
Anti Sex Trafficking Action (ASTRA),Serbia,  
Anti Slavery International (ASI),United Kingdom,  
Anti Smoking Society Qatar,,  
Anti Terrorism Force,India,  
Anti Trafficking Centre (ATC),Serbia,  
Anti- drug volunteer Association of Klong Toey slum,Thailand,  
Anti-AIDS Charitable Youth Fund,Kazakhstan,  
Anti-Corruption Coalition Uganda (ACCU),Uganda,  
Anti-Corruption Committee (ACC),Indonesia,acc.sulsel@yahoo.com
Anti-Corruption Council of Ukraine (ACCU),Ukraine,  
Anti-Corruption Front (ACF),India,  
Anti-Corruption Gateway for Europe and Eurasia,Russian Federation,  
Anti-Corruption Organization (AC),Kenya,ac@kick-corruption.org
Anti-Corruption Trust of Southern Africa (ACT-Southern Africa),Zimbabwe,  
"Anti-Corruption, Justice and Information Center- Ngororero (AJIC)",Rwanda,c.kabano@yahoo.com
"Anti-Drug and Alcohol Abuse Foundation, Inc. (ADAAF)",Philippines,  
Anti-Drug Association Of Somalia (ADRASOM),Somalia,  
Anti-Drug Association of Argentine Republic,Argentina,  
Anti-Drugs Association (ADA),Switzerland,info@stopdrogama.org
Anti-Drugs Association of Mongolia,Mongolia,  
Anti-Narcotics Association,Cyprus,  
Anti-Slavery Project,Australia,  
Anti-Violence Network of Georgia (AVNG),Georgia,  
Anticorruption Business Council (ABC),Kyrgyzstan,  
Antigone,Greece,  
Antinar,Kazakhstan,  
Antinarkotizm (Azerbaijani scientific-analytical Centre),Azerbaijan,  
ANTISPID,Uzbekistan,  
Anton Proksch Institut,Austria,  
Apne Aap Women Worldwide (A2W2),India,  
Approches Locales pour le Développement Durable (ALDED),Cameroon,  
Arab Association for the Prevention of Drugs and Addiction (APDA),Egypt,  
Arab Center for the Development of the Rule of Law and Integrity (ACRLI),Lebanon,info@arabruleoflaw.org
Arab Federation of NGO for Drug Prevention (AFNDP),Egypt,  
Arab National Council against Addiction of Narcotics (ANCAAN),United Kingdom,  
Arab NGO Network for Development (ANND),Lebanon,  
Arab Organization for Fighting Drugs and Brain Effects,Libyan Arab Jamahiriya,  
Arab Organization for Human Rights,Egypt,  
Arab Organization for International Cooperation (AICO),Egypt,  
Arab Society for Public Awareness from Dangerous Drugs and Narcotics (ASPADD),Jordan,  
Arab Thought Forum (ATF),Palestine,  
Aramesh Do Giti Institute,Iran (Islamic Republic of),  
Arca de Noé Fundación Social y Formativa,Colombia,  
Arco Iris Foundation (FAI),Bolivia,  
Argentinean Harm Reduction Association (ARDA),Argentina,  
Arin-Berd Charity Union,Armenia,  
Arkadag Patient Rights Association,Turkmenistan,  
Armenian National AIDS Foundation (ANAF),Armenia,  
Article 13 Coalition to Combat Corruption,Yemen,  
ARTICLE 19 - International Centre Against Censorship,United Kingdom,mexico@article19.org
ArtIdea,Georgia,  
Arud Centres of Addiction Medicine (Arud),Switzerland,  
Asabe Shehu Yar’adua Foundation (ASYARF),Nigeria,edasyarf1@yahoo.com
Ashaafi Foundation,Pakistan,  
Ashah Razyn Foundation (ARF),Uganda,  
Ashakti Punorbashan Nibash (APON),Bangladesh,  
Asia - Pacific NGO Committee on Drug and Substance Abuse Prevention (ASPAC - NGO),Thailand,  
Asia Comprehensive Development Institute (ACDI),Iran (Islamic Republic of),  
Asia Crime Prevention Foundation (ACPF),Japan,  
Asia Pacific Group International (APG),Bangladesh,  
Asian Environmental Society,India,  
Asian Harm Reduction Network (AHRN),Thailand,  
Asian Women's Human Rights Council,India,  
Asociace Nestátních Organizací (ANO),Czech Republic,  
Asociacion Accion Comunitaria,Colombia,  
Asociacion Antidrogas de la Republica Argentina (AARA),Argentina,  
Asociacion Bienestar y Desarrollo (ABD),Spain,  
Asociación Brigadas de Amos Cristiano,Honduras,  
"Asociación Civil de DDHH, Mujeres Unidas Migrantes y Refugiadas (AMUMRA)",Argentina,  
Asociación Civil por la Igualdad y la Justicia (ACIJ),Argentina,  
Asociacion Civil Pro Nino Intimo (ACPNI),Peru,  
Asociacion Colmena Juvenil (ACJ),Bolivia,  
Asociación Comité Contra El SIDA Cabañas (CoCoSI),El Salvador,  
Asociación Comunidad Papa Juan XXIII,,  
Asociación Construyendo Esperanzas,Costa Rica,  
Asociación Coordinadora Civica Nacional (COORDINA),Colombia,  
Asociación Cruz Blanca Panameña (ACBD),Panama,  
Asociación de Comunicadores Sociales Calandria,Peru,  
Asociación de Deportistas contra la Droga (ADCD),Spain,  
Asociación Departamental de Productores de Coca (ADEPCOCA),Bolivia,  
Asociación Germinal,Peru,  
Asociación Hacia un Mejor Futuro ELOGIOS,Colombia,  
Asociación Internacional de ex-Becarios (AIBEX),Uruguay,aibex@aibex.eu
"Asociación la Fuerza del Cambio, Capacitando y Promoviendo, Prevención y Salud",Guatemala,  
Asociacion Latinoamericana de Adiccionologia (ALAD),Colombia,  
"Asociación Mexicana Sobre la Adicción, A.C. (AMESAD)",Mexico,  
Asociación Muchachos de la Calle,Venezuela,  
Asociacion Nacional de Investigación Criminológica y Formación Forense de España,Spain,  
Asociacion Nacional Defensa Personal Especializada (TOES),Spain,  
"Asociación para el Tratamiento, Prevención e Investigación de las Adicciones (ASOTRATA)",Venezuela,  
Asociación para la prevención del Delito (APREDE),Guatemala,  
"Asociación para la Prevención, Reinserción y Atención a la Mujer Prostituida (APRAMP)",Spain,  
Asociación para una Sociedad más Justa (ASJ),Honduras,  
Asociación Peruana de Facultades de Comunicacion Social (APFACOM),Peru,  
Asociación pro Salud Mental del Menor (ASME),Colombia,  
Asociación Proyecto Hombre,Spain,  
Asociación Proyecto Luli,Peru,  
Asociacion Proyecto Mi Casa (APMC),Bolivia,  
Asociación REMAR Nicaragua,,  
Asociación Secretariado General Gitano (ASGG-SASTIPEN),Spain,  
Asociación Voces y Imágenes Comunitarias de Ciudad Norte (AVIC),Colombia,  
Asociatia Pro Democratia,Romania,  
Asociatia Renasterea Botosaneana,Romania,  
Asociatia Romana de Lupta Impotriva Drogurilor (RAFAD),Romania,  
Asociatia Romana Pentru Transparenta (Transperancy International Romania),Romania,  
"Ass. Crista Para o Combate a Droga, Alcoolismo e Nicotina em Angola (ACCDANA)",Angola,  
Assistance contre la Drogue et Prevention du Crime (ACDRO),Congo,  
Assistance to Turkmenistan Area (ATTA),Turkmenistan,  
Assisting Marsh Arabs and Refugees - AMAR International Charitable Foundation (AMAR),United Kingdom,  
Assiut Human Rights Association,Egypt,ouen777@maktoob.com
Associação Brasileira Comunitaria para a Prevenção ao Abuso de Drogas (ABRAÇO),Brazil,  
Associação Brasileira de Defesa da Mulher da Infância e da Juventude (ASBRAD),Brazil,  
Associacao Casa Familia Rosetta,Brazil,  
Associação de Promoção da Saúde Mental A PONTE,Cape Verde,  
Associacao Desafio Joven de Mozambique,Mozambique,  
Associação Justiça Paz e Democracia (AJPD),Angola,  
Associação para Recuperação de Toxidependentes (ART),Portugal,  
Associação Promocional Oração e Trabalho (APOT),Brazil,  
Associacao Recreativa e Esportiva para Criancas e Adolescentes (ARCA),Brazil,  
Associated Country Women of the World,Austria,  
Association SPHERE Burkina,Burkina Faso,yayadokan@yahoo.fr
"Association ""Volunteer""",Tajikistan,  
Association Africaine de Défense des Droits de l'Homme (ASADHO),Congo,  
"Association Africaine pour la Prevention et la Lutte contre le Tabagisme, le Dopage et la Drogue (ASSATADRO)",Cameroon,  
"Association Aides, Infos, Liberte, Espoir et Solidarite (AILES)",Mauritius,  
Association Al - Biri Charitable (Al - Khaireh) (Association Al - Biri),Djibouti,  
Association Algérienne de Lutte contre la Corruption (AACC),Algeria,  
Association Amis Juristes de Djibouti (AJD),Djibouti,  
Association Burkinabé des Infirmiers Specialistes en Sante Mental (ABISAM),Burkina Faso(new code BKF),  
Association Burundaise pour le Secours et le Développement (ABSD),Burundi,  
Association Carre Geo & Environnement,Cameroon,  
"Association CI BITI ""Air Libre""",Senegal,  
Association Club Scientifique de la Faculte des Sciences Medicales,Algeria,  
Association Comorienne de prevention contre la drogue (ACPD),Comoros,  
Association Comunità Papa Giovanni XXIII/ Community of Pope John XXIII Association (APG23),Italy,  
Association Congolaise d'Education et de Prévention contre les Maladies et la Drogue (ACEPMD-Congo),Congo,  
Association congolaise pour la promotion de la santé mentale (ACPSM),Congo,  
Association Credinta,Republic of Moldova,  
Association d'Aide aux Malades Mentaux (AMAMM),Mali,  
ASSOCIATION DE LA JEUNESSE CONGOLAISE POUR LE DEVELOPPEMENT (AJCD),Congo,deguerne_christian@yahoo.fr
Association De Lutte Contre L'usage De La Drogue (ALCUD),Togo,  
Association de Lutte contre le SIDA (ALCS),Morocco,  
Association de protection et de sauvegarde de l'enfance en danger (APSED),Burkina Faso(new code BKF),  
Association des Badinga du Congo (ABADIC),Congo,  
Association Des Femmes Chrétiennes d'Aide et de Développement (AFECAD),Central African Republic,  
Association des Femmes pour l’Appui aux Actions de Développement (AFAAD),Senegal,  
Association DIOGENIS - Drug Policy Dialogue in South East Europe,Greece,  
Association du Bonheur,France,  
"Association Enfants, Jeunes et Avenir (ASSEJA)",Cameroon,  
Association Espace Liberté,Cameroon,  
Association for a Drug Free Portugal (APLD),Portugal,  
Association for Assisting Drug Addicts (UG PROI),Bosnia and Herzegovina,  
Association for Childhood Education (ACEI),United States of America,  
Association for Community Development (ACD),Bangladesh,  
Association for Consultation Movement and Environment Evaluation (ACAMEE),Cameroon,  
Association for Developing Alternative Practices for Reintegration and Education (ADPARE),Romania,  
Association for Drug Policy (Verein für Drogenpolitik e.V.),Germany,  
Association for Fight Against the Addictions and Promotion of Healthy Lifestyles (PREPOROD),Montenegro,  
Association for Human Development (AHD),Pakistan,  
Association for Prevention and Treatment of Chemical Dependency and for People Living with HIV (TRANSFORME),Brazil,  
Association for Prevention of Drug Abuse (MANAS),Bangladesh,  
Association For Promotion Of Creative Learning (APCL),India,  
Association for Protecting Population from Drug and Opium (APPDO),Mongolia,  
Association for Psycho-Social Awareness and Rehabilitation of the Afflicted (APSARA),India,  
Association for Psychological Rehabilitation,Botswana,  
Association for Services related to STI/HIV/AIDS and for Health Promotion (AnisS),Algeria,  
Association for Social Programmes Development (ADPS),Romania,  
Association for Social rehabilitation of People with AIDS and Drug Dependency ARS-SIDA,Republic of Moldova,  
Association for the Care and Rehabilitation of Offenders Ghana (ACRO Ghana),Ghana,a.adjei@acroghana.co
Association for the Care of Drug Abusers,Sweden,  
Association for the Prevention of Drugs and Other Chemical Dependencies (APAAC),Haiti,  
Association for the Prevention of Torture/Association pour la prevention de la torture (APT),Switzerland,  
"Association for the Promotion of Juvenile Justice ""Jean Valjean""",Romania,  
Association for the Social Support of Youth (ARSIS),Greece,  
Association for the Study of the World Refugee Problem (AWR),Germany,  
Association for Women and Children (LIRIA),Serbia,  
Association for Youth Juvenile,United Arab Emirates,  
Association Francaise pour la Reduction des risques (AFR),France,  
Association Frantz Fanon de Sante Mental et d'aide au Sevrage,Algeria,  
Association Help FULL for Women and Children of Immaculate Mary,Poland,  
Association Hors La Rue,France,  
Association Internationale de Lutte Contre la Drogue et les Stupéfiants (A.I.C.D.),Congo,  
Association Internationale des Acteurs du devoloppement (AIAD),Senegal,  
Association Justice and Mercy (AJEM),Lebanon,  
Association MANORINTSOA,Madagascar,  
Association Margina,Bosnia and Herzegovina,  
Association Marocaine d'aide aux Enfants en Situation Precaire (AMESIP),Morocco,  
Association New Life,Republic of Moldova,  
Association of African Entrepreneurs (AAE),Ghana,  
Association of African Women for Research and Development (AAWORD),Senegal,  
Association of Doctors and Pharmacists of Kazakhstan,Kazakhstan,  
Association of European Parliamentarians for Africa (AWEPA),Netherlands,southafrica@awepa.org
Association of Inspectors General,United States of America,  
Association of Medical Students (AMS),Uzbekistan,  
Association of National Brotherhood for Social Welfare (ANBSW),India,  
Association of parents for fight against dependants,Bosnia and Herzegovina,  
Association of Rehabilitation of Drug Abusers of Macao (ARTM),Macao SAR of China,  
Association of Sherpa (SHERPA),France,  
Association of Students Against Drug Abuse and Trafficking (SADAT),Swaziland,  
Association of Young Researchers of Social Sciences/Institute of Social Policies (AYRSS),Albania,  
Association Phare,Djibouti,  
Association Portes Ouvertes,Djibouti,  
Association pour l’Encadrement des Enfants aux Droits de l’Homme (AEEDH),Burundi,aeedhburundi@yahoo.fr
Association pour l'Action Sociale et le Développement (ASD),Cameroon,  
Association pour la Collaboration Globale (ACG),France,  
Association pour la Prise en Charge des Orphelin du SIDA (APECOS),Burundi,  
Association pour la Promotion de la Lutte Contre les Violences faites aux femmes (LUCOVIFA),Cameroon,  
Association pour la promotion du centres de sensibilisation et d'information sur les drogues (CSID),Senegal,  
Association pour les Enfants Défavorisés (ACRIDES),Cape Verde,  
Association pour une Vision de l’Avenir (avave),Burundi,  
Association ROAD - TOGO,Togo,  
Association Sagle Taaba: Convergence Contre la Misere (CCM),Burkina Faso(new code BKF),  
Association Sénégalaise de Lutte Contre la Drogue (ASELUD),Senegal,  
Association Sénégalaise pour la Paix et la Lutte contre l'Alcool et le Toxicomanie (ASPAT),Senegal,  
Association Serment Universel,Congo,  
"Association Tchadienne ""Les Amis des Drogués"" (ATAD)",Chad,  
Association Terra,Croatia,  
Association Togolaise de Lutte contre l'Alcoolisme et les Autres Toxicomanies (ATLAT),Togo,  
Association Transparence et Développement (ATED),Mauritania,  
Association Tunisienne de prévention de la Toxicomanie (ATUPRET),Tunisia,  
Association Tunisienne des Contrôleurs Publics (ATCP),Tunisia,  
Association Women for the Contemporary Society,Republic of Moldova,  
Association “Pozityvus gyvenimas” (Positive life),Lithuania,  
Associazione Iroko Onlus,Italy,  
Associazione On the Road Onlus (OTR),Italy,  
Associazione Osservatorio Droga (AOD),Italy,  
Associazioni Cristiane Lavoratori Italiani (ACLI),Italy,  
Asssociation for the resocialization of former addicts – Proslavi Oporavak (Po),Bosnia and Herzegovina,  
Athencottasan Muthamizh Kazhagam Social Service Organization (AMK),India,  
ATLAS Youth Initiative Centre,Uzbekistan,  
ATMATA Kendram,India,  
"ATTAC 3 Attaque contre la drogue, la prostitution et le Sida (ATTAC 3)",Congo,  
Auksano,South Africa,  
Australian Drug Foundation,Australia,  
Australian Institute of Criminology,Australia,  
Australian National Council on Drugs (ANCD),Australia,  
Australian Parents for Drug Free Youth,Australia,  
Autonomous Women’s Center (AWC),Serbia,  
Avenir de l'Enfant (ADE),Senegal,  
Aware Girls,Pakistan,  
Awareness Against Human Trafficking (HAART),Kenya,  
Ayady Al Khair Society,Libyan Arab Jamahiriya,  
Ayalau Association,Kazakhstan,  
Ayan-delta,Kyrgyzstan,  
Ayol,Uzbekistan,  
Azerbaijan Tafakkur (Thinking) Youth Association (ATYA),,  
Babiker Badri Scientific Association for Women's Studies (BBSAWS),Sudan,  
BACCHUS,Canada,  
Bachpan Bachao Andolan (BBA),India,  
"Bagimliligi Engelleme, Mucadele ve Egitim Merkezi (BEMEV)",Turkey,  
Baha'i International Community,United States of America,  
Bahamas Association for Social Health (BASH),Bahamas,  
Bahrain Human Rights Watch Society (BHRWS),Bahrain,  
Bahrain Watch (BW),Bahrain,  
Bakht Regional Youth Center - Andizhan,Uzbekistan,  
Balochistan Mental Health Association,Pakistan,  
Ban Ying Counseling and coordination Center against trafficking in Persons,Germany,  
Bangladesh Anti-Drug Abuse Organization (BADO),Bangladesh,  
Bangladesh Anti-Drug Federation of NGOs,Bangladesh,  
Bangladesh Anti-Narcotics Organization,Bangladesh,  
Bangladesh Association for Social Advancement (BASA),Bangladesh,  
Bangladesh Inter-Religious Brotherhood Association (BIRBA),Bangladesh,  
Bangladesh Legal Aid and Services Trust (BLAST),Bangladesh,  
Bangladesh National Women Lawyers Association (BNWLA),Bangladesh,  
Bangladesh Rehabilitation and Assistance Centre for Addicts (BARACA),Bangladesh,  
Bangladesh Supreme Court Bar Association (BSCBA),Bangladesh,  
Bangladesh Youth First Concern (BYFC),Bangladesh,  
Bar Association of Seychelles (BAS),Seychelles,  
Barbados Boy Scouts Association,Barbados,  
Barchinoy Youth Development Center,Uzbekistan,  
Barnabas Trust International,Nigeria,  
BASE! Rural Development South Africa,South Africa,  
Batang Iwas Droga Foundation (BIDA),Philippines,  
Batool Welfare Trust (BWT),Pakistan,  
BAYTI,Morocco,  
Be Free Social Cooperative Against Trafficking Violence Discriminations,Italy,  
Beau-Bassin Indo-Mauritian Welfare Association,Mauritius,  
Beautyfull Future,Bangladesh,  
Bely Zhuravl (White Crane) Youth Association,Kyrgyzstan,  
Bemoni Public Union (BPU),Georgia,  
Benevolent Community Education and Rural Development Society (BERDSCO),Cameroon,  
Benfra Mass Communications,Kenya,  
Bersama,Indonesia,  
Best Konsults,Nigeria,  
Best Life Anti-Drug Programme,Egypt,  
Bethel Côte d'Ivoire,Côte d'Ivoire,  
Beyond Face Liberia Inc.,Liberia,  
Bhartiya Kisan Sangh,India,  
Bhartiya Shaikshik Sansthan,India,  
Bhoruka Public Welfare Trust,India,  
Bhutan Youth Development Fund,Bhutan,  
Bikash Bharati Welfare Society,India,  
Bike Youth Organization,Ghana,  
Bio-rhythm Assistance of Social Problems Assurance Association (BASPA),Ghana,  
Black And White Cameroon Association (B&W CAM),Cameroon,  
Black Sheep Self Help Group of Drug Users,Myanmar (use new code MYA),  
Blossom Nigeria Projects (BNP),Nigeria,  
Blue Cross Namibia,Namibia,  
Blue Point Drug Counselling and Outpatient Centre Foundation,Hungary,  
Bokharan Provincial Association of Young Physicians,Uzbekistan,  
Bolalar Va Kattalar Creative Development Center,Uzbekistan,  
Bond Anti- Corruption Group,United Kingdom,  
Bonded Labour Liberation Front (BLLF),Sweden,  
Border areas development Association (BDA),Myanmar (use new code MYA),  
Bosnia and Herzegovina Women Initiative Foundation (BHWI),Bosnia and Herzegovina,  
Boumanggz Foundation,Netherlands,  
Brainforest,Gabon,  
Brains Development Organization,Pakistan,  
Brazilian Forum on Public Safety,Brazil,  
Brazilian Humanitarians in Action (BRAHA),Brazil,  
Break The Chain Campaign,United States of America,  
Breaking Out Corporation,United States of America,  
"Breakthrough Missions, Ltd.",Singapore,  
Breakthrough Sports Academy (BSA),Zambia,  
Bright Generation Community Foundation,Ghana,  
British Columbia Association of People on Methadone,Canada,  
British Helsinki Human Rights Group (BHHRG),United Kingdom,  
British School of Outdoor Education,Nigeria,  
Brot fur die Welt,Germany,  
Buda Youth Organization,Kenya,  
Buddhism for Social Development Association (BSDA),Cambodia,  
Buenos Aires Yoga School Foundation,United States of America,  
Buhay Foundation for Women and the Girl Child,Philippines,  
Building Resources Across Community (BRAC),Bangladesh,  
Bulgarian Federation of Therapeutic Communities,Bulgaria,  
Bulgarian Gender Research Foundation (BGRF),Bulgaria,  
Bulgarian Network for Child and Youth Trafficking Prevention (BNCYTP),Bulgaria,  
Bundesverband der Elternvereine,Austria,  
